,ratio_protein_%,Evolution_popu (%),Dispo_alimen_kcal,Dispo_alimen_prote,Revenu,PIB,Prod_%,Impor_%,Consommation,Reserve_%
28,0.3378987881030969,-0.11892597268232548,-0.6265933338541044,0.19773037118667547,-0.062291383147610166,1.0181723929827708,0.638295105631679,-0.09167034221449509,0.15500616680085358,0.5949077525462881
29,1.6012678578600081,-0.06897568379165377,-0.4588082921064229,-0.6255770599685685,-0.21618686613430585,0.41607366519343103,-0.31517361235294145,-0.41703848845571284,-0.1538821136735326,0.36442354226506946
30,-0.7331768127982192,-1.0150609285933112,-0.5019953468912944,0.10057151152660537,-0.022201540218137614,0.37754636732182967,0.20725548324571905,0.13175752345332278,-0.3712354357474517,0.3227418780967175
31,-0.19076303830755942,0.8734210873226942,0.282952335426,-0.06494366229234558,-0.3859060838437063,-1.2218187630599215,0.3876638932219927,-1.131935927486777,0.24687591315250002,-0.20110507061749353
32,-0.3992633308726788,0.13413426095261818,-0.5551592447652858,-0.20125373026045398,-0.44922931697337437,0.621394440898497,-0.30200925927619726,-0.2666813029545737,0.4045006133988827,-0.3301213481577245
33,2.1640098341619702,-0.6464968891432158,-0.183835573347176,-0.7655322262332319,0.4815941323569398,-0.14108169414482125,-0.5262327886833708,0.07472515851250383,-0.3619803808250113,-0.027804560696259615
34,-0.11678450008473948,2.0849951746481077,-0.9622787736591897,-0.30037070306774477,-2.0086047125879696,0.3246729605672557,0.4124906993530831,0.5931138817680732,0.3230073875528492,0.1854186397798396
35,2.689338107728725,0.8877312183364329,0.06704226790721815,-0.5055081686720599,0.7083877447835356,-0.6614605274687029,-0.34741260199378116,0.5033599220004624,-0.4065621115968366,-0.3330600523210747
36,2.843438532863481,-0.8501904967623223,0.6134713107428333,0.38039784365300533,0.08616877511064733,-0.5824912751740794,-0.775177491220523,0.040505109709424704,-0.08977260132426636,0.11500510320516369
37,0.03397271443728411,1.8508833612569249,-0.772724304422079,-0.4153584407745752,-1.0931995061630944,0.37779658503797003,-0.5933682104766852,0.4485385202556037,0.3503792676966387,0.002937852983792446
38,-0.52717041674406,-1.1160794857371037,-0.20884113471000082,0.40272543610678413,0.32728130798660937,0.007126502532178294,1.3389950977413616,-0.2809053953822777,-0.7130372560941407,-0.048717842060004034
39,-2.459597531359808,-0.8324079628920588,-0.005272513100139936,0.3228336994805165,0.19168159966431145,-0.817535605327806,0.14201146989095645,-0.309328297540519,-0.23531398588548746,-0.015232219142798651
40,1.3835473034311256,0.8628633865658029,-0.6799714346010235,-1.450261131928277,-2.30362388179894,-0.2182237186866379,-0.8530739871871067,-0.32943206803120734,0.6968135190472864,-0.1585890954191482
41,-1.6755008760205428,0.4686751885708482,-0.028305804641439364,0.2484647918820393,-0.12440783556142217,-0.7132607372559935,0.00838033598695283,-0.5664651637991893,0.45506131500769526,0.697533737753027
42,-0.3234518405965685,-0.4311795422537928,-0.27286230408040635,-0.12328852734491438,0.4025758641638159,0.10580173096642263,-0.4025022963797936,-0.7054129924670546,-0.5404673258734376,0.7640781255238678
43,2.1385064423696853,1.1799973391638074,-0.25753115855002595,-0.7937308301269353,-0.2986271663369728,-0.2471051735117071,-0.7285174091673432,-0.029763643982780495,-0.08452537427352216,-0.08916706619144743
44,0.42560001701240774,-1.0384112282243891,-0.94221460231753,0.1006525489246121,0.12226357194740624,1.8785406809961027,0.48891935198780057,0.24241573926501592,-0.215177758072125,-0.20601078325795624
45,-1.3742962738072322,-0.7366293544366384,-0.31520174491059283,0.16672513243756656,-0.19666287823915324,0.01250482708614002,0.28639908112970214,-0.18192889813061666,0.09553138595170645,-0.1525639455962752
46,-2.612848459792845,-0.24043079855693636,0.12554514246257945,0.49230606182410885,0.6383730112772578,-0.7484122449910159,-0.2566318231551177,-0.5182397944767431,0.3516036202897102,0.37085152717844805
47,0.6398548462977278,1.7880138247645068,-0.7487240753974146,-0.17162089119096016,-1.3120765017162908,0.7436676967095371,0.7397670536728408,-0.2915214374050224,0.3549297680964396,-0.2838755555890225
48,-2.661832025592765,-1.0383153236708518,-0.6051685403179334,0.16826561706796683,-0.28079526970433105,0.500549673801792,-0.5861924066118428,0.36024894086822573,0.5761468394528754,-0.30192212895388326
49,-1.1206303602477814,0.5071751467469662,-0.6399947035919963,0.11832709151901763,-1.0540406285134838,0.2538045908002257,0.6159873877611404,-0.025651713657955943,0.14654792666743507,0.2910607362350799
50,3.7797957376051765,-1.4964709401435332,0.20234313338929327,-0.4106528610872688,1.2915875461157418,-0.22287319894383056,0.6316130651698121,0.25414502486450974,-0.5377760564315108,-0.7126628297495156
51,1.8569829548042367,0.3458154265292289,-0.4168560433304568,-0.5850042669516067,-0.13518773136141052,0.23662760363806917,-0.46719044903266815,0.14366828522365707,0.17050826635198127,0.46912875502992896
52,1.4501028104718774,-0.07208243654116919,-0.468577412174988,-0.7662017183246941,0.3395584145706469,0.23001105426489246,-1.3396543891305046,0.5138828578547197,-0.3424898802966913,0.24121510994101172
53,4.229401200238009,0.1172727391371278,0.2943834798453749,-0.969069444085257,0.6673996924135469,-1.1368123871161557,0.4157744356197261,-0.06872068828465926,-0.7476761583372884,-0.7184735165543157
54,-1.2715735340690566,3.17387683744626,0.1659289947601064,1.2811378708938113,1.4720245228897573,0.2144168107882979,-1.0049364825403038,-0.05330956109178257,0.3717791890179795,0.13827533268461623
55,-0.0821270134853005,-0.062161802284290475,0.07416791839758118,0.14608701897096177,0.03569273799734593,-0.09654602441328809,0.10062126600331511,-1.0105969747290857,0.6790979270003209,-0.21770883271111088
56,-2.200609859594421,1.3645035202994293,0.015216751292415337,0.8119894279689844,0.2231943667625739,-0.6335220372672459,0.4496338798474745,-0.01058613265819954,0.2788949083391102,-0.11300236745774654
57,-2.2978741911125327,-0.1292928905114112,-0.0005873092978595391,0.35195269531543044,0.23624232540251708,-0.798560852578365,-0.19388545948249689,-0.24311469850884784,0.1970115624108577,0.5366444529926334
58,0.9207953387858611,1.9172705754199255,-0.36919961703438936,-0.028346952642284515,-0.26918469622863933,-0.37740029417080717,0.456306926030911,0.5334460945978712,-0.8290393893560088,0.3174761758326378
59,0.764494398945962,0.07754978796653023,-0.8831411242087157,0.039872666755723894,-0.6113401485881117,1.7532326519331443,0.9097485310908028,-0.5862011961353923,0.27378661445392155,-0.023456652367177797
